county,ttl_votes,candidate
Albany,26559,Zephyr Teachout
Allegany,1273,Sean Patrick Maloney
Bronx,127398,Letitia A. James
Broome,10331,Sean Patrick Maloney
Cattaraugus,2300,Sean Patrick Maloney
Cayuga,3422,Sean Patrick Maloney
Chautauqua,4871,Sean Patrick Maloney
Chemung,3307,Sean Patrick Maloney
Chenango,1530,Sean Patrick Maloney
Clinton,2532,Zephyr Teachout
Columbia,5919,Zephyr Teachout
Cortland,1899,Sean Patrick Maloney
Delaware,2132,Zephyr Teachout
Dutchess,19647,Zephyr Teachout
Erie,75409,Sean Patrick Maloney
Essex,1593,Zephyr Teachout
Franklin,1830,Sean Patrick Maloney
Fulton,1491,Sean Patrick Maloney
Genesee,1550,Sean Patrick Maloney
Greene,2249,Zephyr Teachout
Hamilton,269,Zephyr Teachout
Herkimer,1544,Zephyr Teachout
Jefferson,2270,Sean Patrick Maloney
Kings,296678,Letitia A. James
Lewis,503,Sean Patrick Maloney
Livingston,2306,Sean Patrick Maloney
Madison,3149,Sean Patrick Maloney
Monroe,45226,Sean Patrick Maloney
Montgomery,1568,Sean Patrick Maloney
Nassau,76305,Letitia A. James
New York,237067,Zephyr Teachout
Niagara,10086,Sean Patrick Maloney
Oneida,7322,Sean Patrick Maloney
Onondaga,24909,Sean Patrick Maloney
Ontario,4942,Sean Patrick Maloney
Orange,19316,Sean Patrick Maloney
Orleans,872,Sean Patrick Maloney
Oswego,3260,Sean Patrick Maloney
Otsego,3313,Zephyr Teachout
Putnam,5601,Sean Patrick Maloney
Queens,181164,Letitia A. James
Rensselaer,8274,Zephyr Teachout
Richmond,25977,Letitia A. James
Rockland,22643,Letitia A. James
Saratoga,10370,Zephyr Teachout
Schenectady,8361,Zephyr Teachout
Schoharie,1266,Zephyr Teachout
Schuyler,871,Zephyr Teachout
Seneca,1600,Sean Patrick Maloney
St. Lawrence,3826,Sean Patrick Maloney
Steuben,2847,Sean Patrick Maloney
Suffolk,65967,Letitia A. James
Sullivan,4049,Zephyr Teachout
Tioga,1840,Sean Patrick Maloney
Tompkins,10943,Zephyr Teachout
Ulster,17820,Zephyr Teachout
Warren,2585,Zephyr Teachout
Washington,2118,Zephyr Teachout
Wayne,2326,Sean Patrick Maloney
Westchester,87498,Letitia A. James
Wyoming,865,Sean Patrick Maloney
Yates,899,Sean Patrick Maloney
