county,candidate,num_votes
Albany,Sean Patrick Maloney,9111
Allegany,Sean Patrick Maloney,625
Broome,Sean Patrick Maloney,4504
Cattaraugus,Sean Patrick Maloney,1200
Cayuga,Sean Patrick Maloney,1941
Chautauqua,Sean Patrick Maloney,2468
Chemung,Sean Patrick Maloney,1107
Chenango,Sean Patrick Maloney,678
Clinton,Sean Patrick Maloney,692
Columbia,Sean Patrick Maloney,1350
Cortland,Sean Patrick Maloney,847
Delaware,Sean Patrick Maloney,546
Dutchess,Sean Patrick Maloney,6807
Erie,Sean Patrick Maloney,32879
Essex,Sean Patrick Maloney,347
Franklin,Sean Patrick Maloney,713
Fulton,Sean Patrick Maloney,699
Genesee,Sean Patrick Maloney,764
Greene,Sean Patrick Maloney,708
Hamilton,Sean Patrick Maloney,93
Herkimer,Sean Patrick Maloney,552
Jefferson,Sean Patrick Maloney,844
Lewis,Sean Patrick Maloney,235
Livingston,Sean Patrick Maloney,1123
Madison,Sean Patrick Maloney,1429
Monroe,Sean Patrick Maloney,20133
Montgomery,Sean Patrick Maloney,692
Nassau,Sean Patrick Maloney,22358
Niagara,Sean Patrick Maloney,5179
Oneida,Sean Patrick Maloney,2822
Onondaga,Sean Patrick Maloney,11295
Ontario,Sean Patrick Maloney,2503
Orange,Sean Patrick Maloney,9255
Orleans,Sean Patrick Maloney,476
Oswego,Sean Patrick Maloney,1780
Otsego,Sean Patrick Maloney,625
Putnam,Sean Patrick Maloney,2387
Rensselaer,Sean Patrick Maloney,2835
Rockland,Sean Patrick Maloney,7339
St. Lawrence,Sean Patrick Maloney,1448
Saratoga,Sean Patrick Maloney,3481
Schenectady,Sean Patrick Maloney,3056
Schoharie,Sean Patrick Maloney,434
Schuyler,Sean Patrick Maloney,229
Seneca,Sean Patrick Maloney,834
Steuben,Sean Patrick Maloney,1089
Suffolk,Sean Patrick Maloney,19823
Sullivan,Sean Patrick Maloney,1368
Tioga,Sean Patrick Maloney,752
Tompkins,Sean Patrick Maloney,1763
Ulster,Sean Patrick Maloney,4264
Warren,Sean Patrick Maloney,1042
Washington,Sean Patrick Maloney,771
Wayne,Sean Patrick Maloney,1260
Westchester,Sean Patrick Maloney,23990
Wyoming,Sean Patrick Maloney,472
Yates,Sean Patrick Maloney,413
Bronx,Sean Patrick Maloney,26206
Kings,Sean Patrick Maloney,36002
New York,Sean Patrick Maloney,41774
Queens,Sean Patrick Maloney,38840
Richmond,Sean Patrick Maloney,7847
Albany,Letitia A. James,4257
Allegany,Letitia A. James,200
Broome,Letitia A. James,1702
Cattaraugus,Letitia A. James,318
Cayuga,Letitia A. James,538
Chautauqua,Letitia A. James,753
Chemung,Letitia A. James,925
Chenango,Letitia A. James,233
Clinton,Letitia A. James,528
Columbia,Letitia A. James,619
Cortland,Letitia A. James,288
Delaware,Letitia A. James,306
Dutchess,Letitia A. James,3905
Erie,Letitia A. James,10228
Essex,Letitia A. James,313
Franklin,Letitia A. James,339
Fulton,Letitia A. James,188
Genesee,Letitia A. James,208
Greene,Letitia A. James,220
Hamilton,Letitia A. James,40
Herkimer,Letitia A. James,286
Jefferson,Letitia A. James,576
Lewis,Letitia A. James,84
Livingston,Letitia A. James,321
Madison,Letitia A. James,477
Monroe,Letitia A. James,9345
Montgomery,Letitia A. James,196
Nassau,Letitia A. James,33354
Niagara,Letitia A. James,1548
Oneida,Letitia A. James,1457
Onondaga,Letitia A. James,5147
Ontario,Letitia A. James,675
Orange,Letitia A. James,4584
Orleans,Letitia A. James,126
Oswego,Letitia A. James,487
Otsego,Letitia A. James,408
Putnam,Letitia A. James,965
Rensselaer,Letitia A. James,903
Rockland,Letitia A. James,8227
St. Lawrence,Letitia A. James,852
Saratoga,Letitia A. James,1178
Schenectady,Letitia A. James,1138
Schoharie,Letitia A. James,111
Schuyler,Letitia A. James,179
Seneca,Letitia A. James,236
Steuben,Letitia A. James,639
Suffolk,Letitia A. James,24663
Sullivan,Letitia A. James,770
Tioga,Letitia A. James,327
Tompkins,Letitia A. James,1534
Ulster,Letitia A. James,2360
Warren,Letitia A. James,288
Washington,Letitia A. James,197
Wayne,Letitia A. James,339
Westchester,Letitia A. James,31593
Wyoming,Letitia A. James,96
Yates,Letitia A. James,130
Bronx,Letitia A. James,84466
Kings,Letitia A. James,163715
New York,Letitia A. James,85319
Queens,Letitia A. James,99804
Richmond,Letitia A. James,13100
Albany,Leecia R. Eve,1716
Allegany,Leecia R. Eve,66
Broome,Leecia R. Eve,415
Cattaraugus,Leecia R. Eve,201
Cayuga,Leecia R. Eve,103
Chautauqua,Leecia R. Eve,295
Chemung,Leecia R. Eve,224
Chenango,Leecia R. Eve,48
Clinton,Leecia R. Eve,110
Columbia,Leecia R. Eve,160
Cortland,Leecia R. Eve,51
Delaware,Leecia R. Eve,62
Dutchess,Leecia R. Eve,395
Erie,Leecia R. Eve,12540
Essex,Leecia R. Eve,58
Franklin,Leecia R. Eve,99
Fulton,Leecia R. Eve,48
Genesee,Leecia R. Eve,94
Greene,Leecia R. Eve,68
Hamilton,Leecia R. Eve,20
Herkimer,Leecia R. Eve,55
Jefferson,Leecia R. Eve,120
Lewis,Leecia R. Eve,29
Livingston,Leecia R. Eve,71
Madison,Leecia R. Eve,123
Monroe,Leecia R. Eve,1771
Montgomery,Leecia R. Eve,84
Nassau,Leecia R. Eve,2577
Niagara,Leecia R. Eve,876
Oneida,Leecia R. Eve,290
Onondaga,Leecia R. Eve,940
Ontario,Leecia R. Eve,184
Orange,Leecia R. Eve,436
Orleans,Leecia R. Eve,49
Oswego,Leecia R. Eve,126
Otsego,Leecia R. Eve,97
Putnam,Leecia R. Eve,106
Rensselaer,Leecia R. Eve,424
Rockland,Leecia R. Eve,667
St. Lawrence,Leecia R. Eve,153
Saratoga,Leecia R. Eve,424
Schenectady,Leecia R. Eve,350
Schoharie,Leecia R. Eve,48
Schuyler,Leecia R. Eve,39
Seneca,Leecia R. Eve,60
Steuben,Leecia R. Eve,163
Suffolk,Leecia R. Eve,2568
Sullivan,Leecia R. Eve,115
Tioga,Leecia R. Eve,90
Tompkins,Leecia R. Eve,320
Ulster,Leecia R. Eve,320
Warren,Leecia R. Eve,72
Washington,Leecia R. Eve,65
Wayne,Leecia R. Eve,69
Westchester,Leecia R. Eve,2930
Wyoming,Leecia R. Eve,71
Yates,Leecia R. Eve,33
Bronx,Leecia R. Eve,3657
Kings,Leecia R. Eve,5045
New York,Leecia R. Eve,4769
Queens,Leecia R. Eve,4590
Richmond,Leecia R. Eve,618
Albany,Zephyr Teachout,11475
Allegany,Zephyr Teachout,382
Broome,Zephyr Teachout,3710
Cattaraugus,Zephyr Teachout,581
Cayuga,Zephyr Teachout,840
Chautauqua,Zephyr Teachout,1355
Chemung,Zephyr Teachout,1051
Chenango,Zephyr Teachout,571
Clinton,Zephyr Teachout,1202
Columbia,Zephyr Teachout,3790
Cortland,Zephyr Teachout,713
Delaware,Zephyr Teachout,1218
Dutchess,Zephyr Teachout,8540
Erie,Zephyr Teachout,19762
Essex,Zephyr Teachout,875
Franklin,Zephyr Teachout,679
Fulton,Zephyr Teachout,556
Genesee,Zephyr Teachout,484
Greene,Zephyr Teachout,1253
Hamilton,Zephyr Teachout,116
Herkimer,Zephyr Teachout,651
Jefferson,Zephyr Teachout,730
Lewis,Zephyr Teachout,155
Livingston,Zephyr Teachout,791
Madison,Zephyr Teachout,1120
Monroe,Zephyr Teachout,13977
Montgomery,Zephyr Teachout,596
Nassau,Zephyr Teachout,18016
Niagara,Zephyr Teachout,2483
Oneida,Zephyr Teachout,2753
Onondaga,Zephyr Teachout,7527
Ontario,Zephyr Teachout,1580
Orange,Zephyr Teachout,5041
Orleans,Zephyr Teachout,221
Oswego,Zephyr Teachout,867
Otsego,Zephyr Teachout,2183
Putnam,Zephyr Teachout,2143
Rensselaer,Zephyr Teachout,4112
Rockland,Zephyr Teachout,6410
St. Lawrence,Zephyr Teachout,1373
Saratoga,Zephyr Teachout,5287
Schenectady,Zephyr Teachout,3817
Schoharie,Zephyr Teachout,673
Schuyler,Zephyr Teachout,424
Seneca,Zephyr Teachout,470
Steuben,Zephyr Teachout,956
Suffolk,Zephyr Teachout,18913
Sullivan,Zephyr Teachout,1796
Tioga,Zephyr Teachout,671
Tompkins,Zephyr Teachout,7326
Ulster,Zephyr Teachout,10876
Warren,Zephyr Teachout,1183
Washington,Zephyr Teachout,1085
Wayne,Zephyr Teachout,658
Westchester,Zephyr Teachout,28985
Wyoming,Zephyr Teachout,226
Yates,Zephyr Teachout,323
Bronx,Zephyr Teachout,13069
Kings,Zephyr Teachout,91916
New York,Zephyr Teachout,105205
Queens,Zephyr Teachout,37930
Richmond,Zephyr Teachout,4412
