day,avg_num_F,avg_min_F,avg_num_W,avg_num_S
2019-01-18,7.0,18.571428571428573,1.0,1.0
2019-01-19,12.5,17.48,3.0,1.0
2019-01-20,12.666666666666666,18.473684210526315,2.3333333333333335,2.0
2019-01-21,12.5,18.44,3.75,2.5
2019-01-22,11.8,19.271186440677965,4.2,3.2
2019-01-23,11.333333333333334,19.51470588235294,4.666666666666667,3.8333333333333335
2019-01-24,11.571428571428571,19.037037037037038,5.0,4.0
2019-01-25,12.0,19.30952380952381,5.857142857142857,4.285714285714286
2019-01-26,11.285714285714286,19.873417721518987,6.285714285714286,5.142857142857143
2019-01-27,10.857142857142858,20.0,7.0,5.428571428571429
2019-01-28,10.714285714285714,19.533333333333335,7.142857142857143,5.571428571428571
2019-01-29,10.714285714285714,18.933333333333334,7.857142857142857,5.428571428571429
2019-01-30,10.714285714285714,18.333333333333332,7.714285714285714,5.0
2019-01-31,10.142857142857142,18.30985915492958,7.714285714285714,4.857142857142857
2019-02-01,10.285714285714286,17.569444444444443,8.142857142857142,4.714285714285714
2019-02-02,10.0,17.0,8.285714285714286,4.571428571428571
2019-02-03,9.857142857142858,15.91304347826087,8.428571428571429,4.428571428571429
2019-02-04,9.714285714285714,15.852941176470589,8.714285714285714,4.428571428571429
2019-02-05,10.0,15.185714285714287,8.285714285714286,4.142857142857143
2019-02-06,10.428571428571429,14.630136986301371,8.857142857142858,3.857142857142857
2019-02-07,10.285714285714286,14.416666666666664,9.0,3.857142857142857
2019-02-08,10.0,14.114285714285714,8.857142857142858,4.285714285714286
2019-02-09,10.142857142857142,13.91549295774648,9.142857142857142,4.285714285714286
2019-02-10,10.285714285714286,13.472222222222223,9.428571428571429,4.571428571428571
2019-02-11,10.285714285714286,13.472222222222223,9.428571428571429,4.571428571428571
2019-02-12,10.285714285714286,13.333333333333332,9.428571428571429,4.571428571428571
2019-02-13,10.142857142857142,13.23943661971831,9.428571428571429,4.857142857142857
2019-02-14,10.428571428571429,13.082191780821915,9.428571428571429,4.714285714285714
2019-02-15,11.0,13.116883116883116,9.714285714285714,4.428571428571429
2019-02-16,11.714285714285714,12.195121951219514,9.142857142857142,4.142857142857143
2019-02-17,12.0,12.678571428571429,9.0,3.7142857142857144
2019-02-18,11.571428571428571,12.469135802469136,8.142857142857142,3.2857142857142856
